Title,Price,Availability,Rating,Link
A Light in the Attic,Â£51.77,In stock,Three,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,Â£53.74,In stock,One,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,Â£50.10,In stock,One,http://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,Â£47.82,In stock,Four,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Â£54.23,In stock,Five,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Â£22.65,In stock,One,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock,Four,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock,Three,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock,Four,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Â£52.15,In stock,One,http://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock,Two,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Â£20.66,In stock,Four,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,Â£17.46,In stock,Five,http://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock,Five,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Â£35.02,In stock,Five,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock,Three,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Â£23.88,In stock,One,http://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock,One,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Â£51.33,In stock,Two,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,Â£45.17,In stock,Two,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,Â£12.84,In stock,One,http://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,Â£37.32,In stock,Two,http://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,Three,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Â£25.27,In stock,Five,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,Â£34.53,In stock,Five,http://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,Â£54.64,In stock,Three,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,Three,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Â£53.13,In stock,Three,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,Five,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Â£44.18,In stock,Four,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,Five,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,Three,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,Â£23.82,In stock,Five,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,Â£36.89,In stock,One,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,Â£15.94,In stock,Five,http://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,Â£33.29,In stock,Three,http://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock,Two,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",Â£19.63,In stock,One,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,Â£52.22,In stock,Four,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,Â£33.63,In stock,Two,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,Â£57.31,In stock,Three,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,Â£26.41,In stock,Two,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),Â£47.61,In stock,Five,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,In stock,Five,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),Â£45.07,In stock,Two,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,Â£31.77,In stock,One,http://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",Â£50.27,In stock,Five,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,Â£14.27,In stock,Four,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,In stock,Four,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,Â£18.78,In stock,Three,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,In stock,One,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,One,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,Three,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,Â£19.49,In stock,Four,http://books.toscrape.com/catalogue/this-one-summer_947/index.html
