Title,Authors,Publisher,Published Date,Description,ISBN-13
A Light in the Attic,Shel Silverstein,HarperCollins,2001-10-09,"Last night while I lay thinking here Some Whatifs crawled inside my ear And pranced and partied all night long And sang their same old Whatif song: Whatif I flunk that test? Whatif green hair grows on my chest? Whatif nobody likes me? Whatif a bolt of lightning strikes me?... To celebrate its 20th anniversary, Shel Silverstein's A Light in the Attic is now available in a special edition containing the classic hardcover book and a CD of highlights from his Grammy Award-winning album. Here in the attic of Shel Silverstein you will find Backward Bill, Sour Face Ann, the Meehoo with an Exactlywatt, and the Polar Bear in the Frigidaire. You will talk with Broiled Face, and find out what happens when Somebody steals your knees, you get caught by the Quick-Digesting Gink, a Mountain snores, and They Put a Brassiere on the Camel. From the creator of the beloved poetry collections Where the Sidewalk Ends and Falling Up, here is another wondrous book of poems and drawings.",9780066236179.0
Tipping the Velvet,Sarah Waters,Virago,2011-02-03,"From the oyster huts of Whitstable to the music halls of Victorian London, Tipping the Velvet is the glorious first novel from this much-loved author 'Piercing the shadows of the naked stage was a single shaft of rosy limelight, and in the centre of this was a girl: the most marvellous girl - I knew it at once! - that I had ever seen.' A saucy, sensuous and multi-layered historical romance, Tipping the Velvet follows the glittering career of Nan King - oyster girl turned music-hall star turned rent boy turned East End 'tom'. 'Erotic and absorbing... Written with startling power' New York Times Book Review 'An unstoppable read, a sexy and picaresque romp through the lesbian and queer demi-monde of the roaries Nineties' Independent on Sunday 'Waters is an extremely confident writer, combining precise, sensuous descriptions with irony and wit' Observer",9780748129324.0
Soumission,Michel Houellebecq,Macmillan,2015-10-20,"In a near-future France, Franocois, a middle-aged academic, is watching his life slowly dwindle to nothing. His sex drive is diminished, his parents are dead, and his lifelong obsession--the ideas and works of the novelist Joris-Karl Huysmans--has led him nowhere. In a late-capitalist society where consumerism has become the new religion, Franocois is spiritually barren, but seeking to fill the vacuum of his existence. And he is not alone. As the 2022 Presidential election approaches, two candidates emerge as favorites: Marine Le Pen of the Front National, and Muhammed Ben Abbes of the nascent Muslim Fraternity. Forming a controversial alliance with the mainstream parties, Ben Abbes sweeps to power, and overnight the country is transformed. Islamic law comes into force: women are veiled, polygamy is encouraged and, for Franocois, life is set on a new course.",9780374271572.0
Sharp Objects,Gillian Flynn,Crown,2018-06-12,"NOW AN HBO® LIMITED SERIES STARRING AMY ADAMS, NOMINATED FOR EIGHT EMMY AWARDS, INCLUDING OUTSTANDING LIMITED SERIES FROM THE #1 NEW YORK TIMES BESTSELLING AUTHOR OF GONE GIRL Fresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the murders of two preteen girls. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows: a beautiful thirteen-year-old with an eerie grip on the town. Now, installed in her old bedroom in her family's Victorian mansion, Camille finds herself identifying with the young victims—a bit too strongly. Dogged by her own demons, she must unravel the psychological puzzle of her own past if she wants to get the story—and survive this homecoming. Praise for Sharp Objects “Nasty, addictive reading.”—Chicago Tribune “Skillful and disturbing.”—Washington Post “Darkly original . . . [a] riveting tale.”—People",9780525575740.0
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Harper Collins,2015-02-10,"New York Times Bestseller A Summer Reading Pick for President Barack Obama, Bill Gates, and Mark Zuckerberg From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.” One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us? Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas. Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become? Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem.",9780062316103.0
The Requiem Red,Brynn Chapman,Month9books,2016-12-06,"Life for patient 29 is full of medicated day dreams of a life outside the walls of Soothing Hills Asylum. But fantasies are not all that consume her. A monster roams the halls of the sanitarium she reluctantly calls home and three girls have been found dead. The dead girls share one common thread . . . each was 29's cell mate. As the investigation gets under way, she retreats into her mind, listening to the voices that call to her. She is endowed with the cursed gift of perception. Through it, she hears messages carried upon the notes of music, discerns words hidden among the strokes of paintings, and minds pleadings for help from the corn field outside. Could the key to the murders lie within 29's broken mind? Mason, an orderly, does not see 29 as a lunatic and as his belief in her grows so does her self-confidence. The possibility of one day leaving the asylum seems less and less like a fantasy. But the monster has other plans for her. Leaving will not be so easy, at least not while she is alive.",9781944816278.0
The Dirty Little Secrets of Getting Your Dream Job,Don Raskin,Simon and Schuster,2016-04-05,"Drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, Don Raskin’s The Dirty Little Secrets of Getting Your Dream Job offers all the necessary tools for navigating the tough job market and securing your dream job. Don Raskin owns and operates MME, an advertising and marketing agency in New York City. During his twenty-five years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entry-level recruitment for positions in creative, account management, traffic, and production. Raskin has also mentored countless students and their parents on best practices for the job search. Over the years, Raskin has kept exceptionally detailed notes on the interviews he has conducted, observing the good, the bad, the ridiculous, the irreverent. He also has a treasure trove of over-the-top cover letters, resumes, interviews, and post interview follow-ups he has conducted and received. Now, he wants to share all the wisdom and insider secrets he has gathered to help students and first-time job seekers find a job in this economy. Based on his remarkable expertise, Raskin's book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first job—or a new one—and finding career success.",9781942872771.0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Karen J. Hicks,N/A,2014-08-15,"""If you have a heart, if you have a soul, Karen Hicks' The Coming Woman will make you fall in love with Victoria Woodhull.""-Kinky Friedman, author and Governor of the Heart of Texas ""What kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? More than 140 years pre-Hillary, there was Victoria Woodhull. This book takes you back with a breathtaking, present-tense bird's eye view into a time when women's liberation was primarily confined to one woman's very capable, independent mind. I couldn't put it down.""---Ruth Buzzi, Golden Globe Award winner and Television Hall of Fame inductee ""Sadly, too many Americans have never heard of Victoria Woodhull, let alone learned of her story: her revolutionary campaign for the presidency at a time when women weren't even allowed to vote, her support for worker's rights, or her feminist commitment to equality, a century before the official battle over the Equal Rights Amendment. But in The Coming Woman, Karen Hicks brings Woodhull's efforts to life, and reminds us that some of our nation's greatest figures aren't always featured in the history books. It is a riveting account of an amazing woman and her struggle for justice and human dignity, told in an engaging and eminently readable style.""-Tim Wise, author, ""White Like Me: Reflections on Race from a Privileged Son"" ""The Coming Woman"" is a novel based on the life of feminist Victoria Woodhull, the first woman to run for U.S. President, 50 years before women could even vote Running for President wasn't Victoria's only first as a woman. She was also the first to own a successful Wall Street firm, the first to publish a successful national newspaper, and the first to head the two-million-member Spiritualist Association. She was the first woman to enter the Senate Judiciary Committee chambers to petition for woman's suffrage, her argument changing the entire focus of the suffragist movement by pointing out that the 14th and 15th Amendments already gave women the vote. In her campaign for the Presidency, Victoria Woodhull boldly addressed many of the issues we still face today: equal pay for equal work; freedom in love; corporate greed and political corruption fueled by powerful lobbyists; and the increasing disparity between the rich and the poor, to name only a few. Her outspoken and common-sense ideas may shed a new perspective on the parallel conundrums of today's world. This bold, beautiful, and sexually progressive woman dared to take on society and religion. To make an example of the hypocrisy in what Mark Twain dubbed The Gilded Age, she exposed the extramarital affairs of the most popular religious figure of the day (Henry Ward Beecher). This led to her persecution and imprisonment and the longest, most infamous trial of the 19th century. But it did not stop her fight for equality. Victoria's epic story, set in the late 1800s, comes to life in a modern, fictional style, while staying true to the actual words and views of the many well-known characters.",9781941644119.0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Penguin,2023-12-05,"The inspiration for the Major Motion Picture Directed by George Clooney—exclusively in theaters December 25, 2023! The #1 New York Times bestselling true story about the American rowing triumph of the 1936 Olympics in Berlin—from the author of Facing the Mountain For readers of Unbroken, out of the depths of the Depression comes an irresistible story about beating the odds and finding hope in the most desperate of times—the improbable, intimate account of how nine working-class boys from the American West showed the world at the 1936 Olympics in Berlin what true grit really meant. It was an unlikely quest from the start. With a team composed of the sons of loggers, shipyard workers, and farmers, the University of Washington’s eight-oar crew team was never expected to defeat the elite teams of the East Coast and Great Britain, yet they did, going on to shock the world by defeating the German team rowing for Adolf Hitler. The emotional heart of the tale lies with Joe Rantz, a teenager without family or prospects, who rows not only to regain his shattered self-regard but also to find a real place for himself in the world. Drawing on the boys’ own journals and vivid memories of a once-in-a-lifetime shared dream, Brown has created an unforgettable portrait of an era, a celebration of a remarkable achievement, and a chronicle of one extraordinary young man’s personal quest.",9780593512302.0
The Black Maria,Aracelis Girmay,"BOA Editions, Ltd.",2016-04-18,"Taking its name from the moon's dark plains, misidentified as seas by early astronomers, The Black Maria investigates African diasporic histories, the consequences of racism within American culture, and the question of human identity. Central to this project is a desire to recognize the lives of Eritrean refugees who have been made invisible by years of immigration crisis, refugee status, exile, and resulting statelessness. The recipient of a 2015 Whiting Award for Poetry, Girmay's newest collection elegizes and celebrates life, while wrestling with the humanistic notion of seeing beyond: seeing violence, seeing grace, and seeing each other better. ""to the sea"" great storage house, history on which we rode, we touched the brief pulse of your fluttering pages, spelled with salt & life, your rage, your indifference your gentleness washing our feet, all of you going on whether or not we live, to you we bring our carnations yellow & pink, how they float like bright sentences atop your memory's dark hair Aracelis Girmay is the author of two poetry collections, Teeth and Kingdom Animalia, which won the Isabella Gardner Award and was a finalist for the NBCC Award. The recipient of a 2015 Whiting Award, she has received grants and fellowships from the Jerome, Cave Canem, and Watson foundations, as well as Civitella Ranieri and the NEA. She currently teaches at Hampshire College's School for Interdisciplinary Arts and in Drew University's low residency MFA program. Originally from Santa Ana, California, she splits her time between New York and Amherst, Massachusetts.",9781942683032.0
